"name","handedness","height","weight","avg","HR","weight_bucket","height_bucket","avg_bucket","dexterity"
"Denny Lemaster","R",73,182,0.13,4,"(162,185]","(71,74]","(0.104,0.16]",1
"Joe Nolan","L",71,175,0.263,27,"(162,185]","(68,71]","(0.216,0.272]",2
"Denny Doyle","L",69,175,0.25,16,"(162,185]","(68,71]","(0.216,0.272]",2
"Jose Cardenal","R",70,150,0.275,138,"(140,162]","(68,71]","(0.272,0.328]",1
"Mike Ryan","R",74,205,0.193,28,"(185,208]","(71,74]","(0.16,0.216]",1
"Fritz Peterson","B",72,185,0.159,2,"(162,185]","(71,74]","(0.104,0.16]",3
"Dick Bertell","R",72,200,0.25,10,"(185,208]","(71,74]","(0.216,0.272]",1
"Rod Kanehl","R",73,180,0.241,6,"(162,185]","(71,74]","(0.216,0.272]",1
"Juan Bonilla","R",69,170,0.256,7,"(162,185]","(68,71]","(0.216,0.272]",1
"Frank Tepedino","L",71,185,0.241,6,"(162,185]","(68,71]","(0.216,0.272]",2
"Rick Wise","R",73,180,0.195,15,"(162,185]","(71,74]","(0.16,0.216]",1
"Darrell Evans","L",74,200,0.248,414,"(185,208]","(71,74]","(0.216,0.272]",2
"Buck Martinez","R",70,190,0.225,58,"(185,208]","(68,71]","(0.216,0.272]",1
"John Wockenfuss","R",72,190,0.262,86,"(185,208]","(71,74]","(0.216,0.272]",1
"Tommy McCraw","L",72,183,0.246,75,"(162,185]","(71,74]","(0.216,0.272]",2
"Lee Lacy","R",73,175,0.286,91,"(162,185]","(71,74]","(0.272,0.328]",1
"Pete Rose","B",71,192,0.303,160,"(185,208]","(68,71]","(0.272,0.328]",3
"Danny Walton","R",72,195,0.223,28,"(185,208]","(71,74]","(0.216,0.272]",1
"Bobby Cox","R",71,180,0.225,9,"(162,185]","(68,71]","(0.216,0.272]",1
"Brad Wellman","R",72,170,0.231,6,"(162,185]","(71,74]","(0.216,0.272]",1
"Jeff Newman","R",74,215,0.224,63,"(208,230]","(71,74]","(0.216,0.272]",1
"Pedro Gonzalez","R",72,176,0.244,8,"(162,185]","(71,74]","(0.216,0.272]",1
"Tommie Reynolds","R",74,190,0.226,12,"(185,208]","(71,74]","(0.216,0.272]",1
"Gene Clines","R",69,170,0.277,5,"(162,185]","(68,71]","(0.272,0.328]",1
"Jim Hickman","R",75,192,0.252,159,"(185,208]","(74,77]","(0.216,0.272]",1
"Jerry Buchek","R",71,185,0.22,22,"(162,185]","(68,71]","(0.216,0.272]",1
"Ivan DeJesus","R",71,175,0.254,21,"(162,185]","(68,71]","(0.216,0.272]",1
"Gary Nolan","R",74,197,0.138,1,"(185,208]","(71,74]","(0.104,0.16]",1
"Fred Whitfield","L",73,190,0.253,108,"(185,208]","(71,74]","(0.216,0.272]",2
"Larry Dierker","R",76,215,0.136,4,"(208,230]","(74,77]","(0.104,0.16]",1
"Dave Skaggs","R",74,200,0.241,3,"(185,208]","(71,74]","(0.216,0.272]",1
"Dick Ruthven","R",75,190,0.183,1,"(185,208]","(74,77]","(0.16,0.216]",1
"Dave Kingman","R",78,210,0.236,442,"(208,230]","(77,80]","(0.216,0.272]",1
"Eric Soderholm","R",71,187,0.264,102,"(185,208]","(68,71]","(0.216,0.272]",1
"Ed Brinkman","R",72,170,0.224,60,"(162,185]","(71,74]","(0.216,0.272]",1
"Wayne Garrett","L",71,175,0.239,61,"(162,185]","(68,71]","(0.216,0.272]",2
"Tony Muser","L",74,180,0.259,7,"(162,185]","(71,74]","(0.216,0.272]",2
"Ted Ford","R",70,180,0.219,17,"(162,185]","(68,71]","(0.216,0.272]",1
"Jim Lyttle","L",72,180,0.248,9,"(162,185]","(71,74]","(0.216,0.272]",2
"Scot Thompson","L",75,195,0.262,5,"(185,208]","(74,77]","(0.216,0.272]",2
"Gene Locklear","L",70,165,0.274,9,"(162,185]","(68,71]","(0.272,0.328]",2
"Bo Diaz","R",71,185,0.255,87,"(162,185]","(68,71]","(0.216,0.272]",1
"Bump Wills","B",69,172,0.266,36,"(162,185]","(68,71]","(0.216,0.272]",3
"Pat Putnam","L",72,205,0.255,63,"(185,208]","(71,74]","(0.216,0.272]",2
"Kurt Bevacqua","R",72,180,0.236,27,"(162,185]","(71,74]","(0.216,0.272]",1
"Syd O'Brien","R",73,185,0.23,24,"(162,185]","(71,74]","(0.216,0.272]",1
"Chris Chambliss","L",73,195,0.279,185,"(185,208]","(71,74]","(0.272,0.328]",2
"Tom Satriano","L",73,185,0.225,21,"(162,185]","(71,74]","(0.216,0.272]",2
"Jeffrey Leonard","R",74,200,0.266,144,"(185,208]","(71,74]","(0.216,0.272]",1
"Dal Maxvill","R",71,157,0.217,6,"(140,162]","(68,71]","(0.216,0.272]",1
"Cesar Tovar","R",69,155,0.278,46,"(140,162]","(68,71]","(0.272,0.328]",1
"Jack Heidemann","R",72,175,0.211,9,"(162,185]","(71,74]","(0.16,0.216]",1
"Rich Rollins","R",70,185,0.269,77,"(162,185]","(68,71]","(0.216,0.272]",1
"Walt Bond","L",79,228,0.256,41,"(208,230]","(77,80]","(0.216,0.272]",2
"Merv Rettenmund","R",70,190,0.271,66,"(185,208]","(68,71]","(0.216,0.272]",1
"Byron Browne","R",74,190,0.236,30,"(185,208]","(71,74]","(0.216,0.272]",1
